#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31490	9939619	5154674	2342	2366	110	100571	-1130
31491	9939636	5154668	2340	2381	110	100575	-1133
31492	9939651	5154662	2348	2131	109	100582	-1139
31493	9939675	5154656	2513	2081	109	100577	-1135
31494	9939698	5154651	2433	2275	108	100580	-1138
31495	9939719	5154645	2496	2442	108	100578	-1136
31496	9939743	5154639	2353	2462	108	100589	-1145
31497	9939766	5154633	2492	2449	108	100579	-1137
31498	9939790	5154627	2505	2409	107	100589	-1145
31499	9939814	5154621	2553	2450	107	100581	-1138
31500	9939837	5154615	2544	2443	107	100580	-1138
31501	9939861	5154609	2487	2157	106	100572	-1131
31502	9939885	5154603	2485	2089	106	100589	-1145
31503	9939910	5154596	2446	2075	106	100582	-1139
31504	9939935	5154591	2476	2257	105	100580	-1138
31505	9939960	5154585	2396	2389	105	100581	-1138
31506	9939983	5154579	2516	2388	105	100587	-1143
31507	9940005	5154573	2487	2355	105	100578	-1136
31508	9940027	5154567	2303	2317	104	100593	-1148
31509	9940048	5154562	2059	2175	104	100591	-1147
31510	9940069	5154556	1955	1969	104	100592	-1148
31511	9940093	5154551	2013	1919	104	100591	-1147
31512	9940117	5154546	2018	2061	104	100594	-1149
31513	9940143	5154542	2118	2120	104	100589	-1145
31514	9940168	5154537	2124	1913	103	100595	-1150
31515	9940191	5154532	2118	2134	103	100592	-1148
31516	9940214	5154527	2152	2127	103	100593	-1148
31517	9940234	5154522	2140	1824	103	100595	-1150
31518	9940255	5154516	2022	2002	102	100589	-1145
31519	9940278	5154511	2026	1992	103	100594	-1149
31520	9940298	5154506	1942	1907	102	100594	-1149
31521	9940308	5154501	1742	1907	102	100594	-1149
31522	9940318	5154497	1281	1242	102	100601	-1155
31523	9940330	5154493	1155	1202	102	100605	-1159
31524	9940344	5154489	1061	1035	102	100600	-1154
31525	9940364	5154487	761	1035	102	100595	-1150
31526	9940377	5154485	25	1035	102	100606	-1159
31527	9940384	5154484	5	0	102	100609	-1162
31528	9940385	5154483	3	0	102	100601	-1155
31529	9940383	5154483	3	0	102	100603	-1157
31530	9940381	5154483	1	0	102	100603	-1157
31531	9940380	5154483	1	0	102	100608	-1161
