#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
50516	9937173	5153050	2185	0
50517	9937078	5153050	2179	0
50518	9936985	5153049	2229	0
50519	9936892	5153049	2231	0
50520	9936800	5153050	2231	0
50521	9936707	5153049	2242	0
50522	9936608	5153047	2227	0
50523	9936510	5153047	2194	0
50524	9936420	5153046	2146	0
50525	9936245	5153045	2103	0
50526	9936245	5153045	2103	0
50527	9936152	5153042	2207	0
50528	9936058	5153039	2274	0
50529	9935975	5153037	2126	0
50530	9935890	5153034	2183	0
50531	9935799	5153031	2313	0
50532	9935714	5153028	2213	0
50533	9935635	5153025	2068	0
50534	9935561	5153021	2076	0
50535	9935490	5153018	2079	0
50536	9935420	5153015	2068	0
50537	9935347	5153011	2064	0
50538	9935280	5153008	1942	0
50539	9935280	5153008	1942	0
50540	9935155	5153004	1681	0
50541	9935086	5153002	1809	0
50542	9935012	5153001	1852	0
50543	9934941	5152999	1631	0
50544	9934878	5152998	1466	0
50545	9934823	5152998	1314	0
50546	9934775	5152997	1016	0
50547	9934740	5152998	722	0
